subid,counter,trialtype,percentage,colorasked,diffshape,diffcolor,targetshape,targetcolor,distractorshape,distractorcolor,targetword, numclicks,date,timestamp,rttrain,rttest,object1name,object2name,object3name,attnselected
137,2,3,0,false,true,true,F,pink,B,gray,dax,0,5/8/2018,10:15,5953,"4863
",gade,toma,blicket,"dax
"
326,2,3,80,false,true,true,A,blue,H,pink,toma,0,5/8/2018,7:43,6081,"9721
",sprock,wug,blicket,"toma
"
67,2,1,18,true,true,true,C,blue,B,pink,sprock,0,5/8/2018,10:22,3942,"7730
",blicket,gade,wug,"sprock
"
230,2,2,34,true,true,false,B,yellow,J,yellow,dax,1,5/8/2018,10:23,9952,"6702
",blicket,wug,sprock,"dax
"
213,2,4,70,false,true,false,A,gray,E,gray,wug,6,5/8/2018,7:33,18066,"7646
",toma,blicket,gade,"wug
"
82,2,3,0,false,true,true,I,red,G,yellow,toma,0,5/8/2018,9:15,7012,"5399
",dax,gade,sprock,"toma
"
170,2,1,30,true,true,true,B,blue,H,purple,gade,0,5/8/2018,11:30,4659,"17732
",toma,wug,blicket,"gade
"
206,2,1,50,true,true,true,B,blue,C,green,dax,0,5/8/2018,8:04,3448,"6585
",sprock,toma,gade,"dax
"
282,2,3,100,false,true,true,F,teal,B,blue,gade,0,5/8/2018,10:16,9606,"18209
",blicket,sprock,wug,"gade
"
297,2,2,22,true,true,false,G,tan,C,tan,sprock,0,5/8/2018,10:36,4073,"6138
",wug,dax,blicket,"sprock
"
25,2,3,35,false,true,true,G,blue,I,pink,sprock,1,5/8/2018,7:50,22347,"6560
",wug,blicket,gade,"sprock
"
42,2,2,60,true,true,false,I,yellow,J,yellow,sprock,0,5/8/2018,7:22,17324,"10342
",gade,blicket,wug,"sprock
"
52,2,2,25,true,true,false,D,green,B,green,gade,0,5/8/2018,2:20,7648,"17642
",dax,toma,wug,"gade
"
148,2,1,25,true,true,true,G,pink,F,yellow,gade,0,5/8/2018,8:38,4426,"10853
",blicket,dax,wug,"gade
"
195,2,1,30,true,true,true,E,teal,I,pink,dax,0,5/8/2018,9:40,6200,"11543
",gade,sprock,blicket,"dax
"
308,2,2,37,true,true,false,I,teal,H,teal,blicket,0,5/8/2018,9:39,4396,"4859
",toma,wug,gade,"blicket
"
88,2,3,1,false,true,true,C,green,H,gray,blicket,0,5/8/2018,10:08,12306,"10974
",dax,wug,gade,"blicket
"
130,2,2,52,true,true,false,D,teal,B,teal,gade,8,5/8/2018,9:20,26530,"8426
",dax,toma,sprock,"gade
"
24,2,1,1,true,true,true,F,red,E,orange,wug,0,5/8/2018,11:40,3952,"9960
",gade,blicket,dax,"wug
"
146,2,1,26,true,true,true,F,pink,C,red,wug,0,5/8/2018,10:28,6894,"51641
",dax,gade,blicket,"wug
"
133,2,3,10,false,true,true,G,purple,I,gray,blicket,0,5/8/2018,9:35,4374,"6294
",wug,dax,gade,"blicket
"
93,2,4,20,false,true,false,F,purple,C,purple,gade,4,5/8/2018,9:15,12238,"8515
",wug,dax,toma,"gade
"
192,2,2,75,true,true,false,C,purple,B,purple,wug,0,5/8/2018,9:29,10221,"13709
",toma,dax,blicket,"wug
"
29,2,3,21,false,true,true,J,teal,D,green,sprock,25,5/8/2018,9:10,38387,"10667
",blicket,gade,toma,"sprock
"
180,2,2,20,true,true,false,H,red,G,red,wug,0,5/8/2018,1:10,6304,"30338
",blicket,sprock,toma,"wug
"
60,2,2,20,true,true,false,A,yellow,G,yellow,dax,0,5/8/2018,9:15,3316,"4616
",sprock,gade,toma,"dax
"
312,2,2,97,true,true,false,D,blue,B,blue,sprock,0,5/8/2018,11:54,6378,"20848
",toma,wug,dax,"sprock
"
189,2,1,14,true,true,true,F,purple,A,yellow,sprock,0,5/8/2018,4:17,3427,"4219
",gade,toma,dax,"sprock
"
43,2,3,3,false,true,true,E,yellow,H,teal,gade,0,5/8/2018,16:52,16574,"10332
",wug,sprock,toma,"gade
"
160,2,4,100,false,true,false,I,red,B,red,sprock,0,5/8/2018,9:25,4410,"6174
",wug,gade,blicket,"sprock
"
121,2,4,0,false,true,false,I,orange,B,orange,gade,1,5/8/2018,7:32,4406,"1937
",dax,toma,wug,"gade
"
37,2,3,90,false,true,true,B,tan,C,purple,wug,0,5/8/2018,10:27,9003,"23040
",sprock,toma,dax,"wug
"
270,2,1,20,true,true,true,G,purple,H,orange,toma,0,5/8/2018,10:31,3296,"14663
",sprock,blicket,dax,"toma
"
202,2,2,30,true,true,false,G,yellow,H,yellow,wug,1,5/8/2018,8:12,12554,"26127
",dax,blicket,sprock,"wug
"
44,2,1,25,true,true,true,I,blue,H,purple,dax,0,5/8/2018,7:46,3576,"8260
",toma,blicket,sprock,"dax
"
247,2,3,62,false,true,true,G,green,C,red,gade,11,5/8/2018,10:00,44861,"10832
",toma,sprock,blicket,"gade
"
292,2,3,80,false,true,true,I,green,B,blue,toma,0,5/8/2018,10:14,5497,"16567
",blicket,wug,dax,"toma
"
238,2,4,84,false,true,false,I,yellow,G,yellow,blicket,0,5/8/2018,10:26,6070,"12206
",gade,wug,dax,"blicket
"
90,2,3,74,false,true,true,D,teal,A,green,dax,0,5/8/2018,10:34,5191,"10279
",blicket,gade,sprock,"dax
"
183,2,1,0,true,true,true,G,teal,J,pink,sprock,0,5/8/2018,10:24,4369,"3016
",blicket,dax,gade,"sprock
"
145,2,1,63,true,true,true,G,tan,J,teal,dax,0,5/8/2018,9:29,6428,"12950
",toma,blicket,sprock,"dax
"
324,2,4,55,false,true,false,B,red,H,red,sprock,1,5/8/2018,7:07,10663,"8677
",gade,toma,dax,"sprock
"
165,2,2,25,true,true,false,H,gray,G,gray,sprock,0,5/8/2018,8:33,8076,"29479
",toma,wug,blicket,"sprock
"
85,2,3,100,false,true,true,J,teal,H,red,dax,0,5/8/2018,2:19,4964,"9988
",gade,wug,blicket,"dax
"
231,2,3,51,false,true,true,D,gray,B,purple,wug,0,5/8/2018,19:41,6547,"26533
",toma,gade,dax,"dax
"
237,2,3,40,false,true,true,B,pink,J,green,wug,0,5/8/2018,7:39,5388,"6735
",blicket,toma,dax,"wug
"
62,2,3,24,false,true,true,A,gray,H,teal,gade,12,5/8/2018,9:11,14812,"12740
",blicket,dax,toma,"gade
"
122,2,1,26,true,true,true,H,purple,G,green,blicket,0,5/8/2018,11:25,14116,"13736
",sprock,dax,wug,"blicket
"
48,2,4,100,false,true,false,A,blue,F,blue,sprock,2,5/8/2018,8:08,12918,"7881
",gade,toma,dax,"sprock
"
229,2,4,26,false,true,false,E,blue,C,blue,wug,0,5/8/2018,7:12,4660,"7874
",toma,dax,gade,"wug
"
158,2,2,50,true,true,false,H,red,B,red,toma,0,5/8/2018,7:53,10553,"8792
",gade,blicket,sprock,"toma
"
226,2,2,18,true,true,false,A,green,I,green,blicket,0,5/8/2018,8:28,5771,"6394
",toma,gade,sprock,"blicket
"
184,2,2,40,true,true,false,A,teal,J,teal,gade,3,5/8/2018,10:23,13413,"8544
",sprock,blicket,dax,"gade
"
120,2,4,94,false,true,false,E,green,D,green,blicket,2,5/8/2018,10:10,8564,"4632
",sprock,toma,wug,"blicket
"
208,2,3,88,false,true,true,D,yellow,I,tan,blicket,0,5/8/2018,10:11,5742,"10205
",toma,gade,dax,"blicket
"
